(-22.601952, -49.998726)
(-25.0104609, -47.9315628)
(-22.7029347, -45.0526508)
(-22.7434964, -50.38924)
(-21.3255615, -48.6308798)
(-23.0066616, -49.7840632)
(-24.0048759, -48.3489848)
(-23.4704798, -47.7352309)
(-22.9999295, -47.5031066)
(-23.62028, -45.41306)
(-23.5234673, -46.8406808)
(-20.080447, -49.9139767)
(-21.7743137, -47.0852175)
(-21.280082, -47.164327)
(-20.8695636, -51.4877792)
(-21.1331035, -48.9712817)
(-21.0491485, -49.0578923)
(-20.9028433, -49.2699665)
(-23.0353135, -49.1650519)
(-23.1626556, -47.7433878)
(-23.226035, -47.954453)
(-22.50958, -47.775468)
(-23.0406405, -49.7071698)
(-21.5594631, -50.448624)
(-20.711443, -48.53867)
(-20.1774291, -48.6872822)
(-22.337512, -47.172927)
(-23.0133538, -48.0077595)
(-22.4768324, -47.4550551)
(-21.3554634, -50.2853589)
(-23.6304001, -49.313234)
(-22.2210521, -47.6249638)
(-22.6437398, -47.1972086)
(-20.47705, -49.7787881)
(-23.603889, -46.918889)
(-21.340278, -47.729444)
(-20.403569, -47.420915)
(-22.7434438, -50.7911037)
(-22.5783685, -44.9642044)
(-23.8857982, -46.4241869)
(-23.07753, -44.9567436)
(-21.9090404, -47.6203241)
(-23.681347, -46.62052)
(-20.4664067, -50.606276)
(-21.6604584, -46.7371151)
(-21.5180904, -48.3938897)
(-22.3697554, -48.3845315)
(-20.1230736, -50.513261)
(-22.1124638, -48.3151079)
(-21.4835523, -51.5334408)
(-22.414562, -49.408355)
(-21.2391417, -47.9747665)
(-22.4325855, -50.2037693)
(-24.522583, -48.1093489)
(-23.0416538, -47.3718002)
(-21.1673392, -49.1111015)
(-20.9819513, -48.837455)
(-23.6495294, -46.8528497)
(-23.8317997, -46.8156204)
(-21.831436, -51.483168)
(-22.4896659, -47.2119005)
(-22.190871, -46.74767)
(-22.6939723, -49.4295067)
(-22.2742719, -46.9523302)
(-22.4886301, -51.6606857)
(-20.2860692, -50.3986216)
(-22.55452, -52.592779)
(-23.390039, -49.5109023)
(-21.266061, -48.687384)
(-20.2825647, -50.2500762)
(-22.3595388, -49.5209504)
(-23.541056, -46.37097)
(-21.6760063, -51.3804532)
(-20.6767063, -50.1455638)
(-21.614061, -51.1729548)
(-22.9016004, -50.7268005)
(-20.5381768, -47.4009795)
(-23.2817308, -46.7448996)
(-23.3328038, -46.724446)
(-21.5299436, -50.5533059)
(-22.2936976, -49.5516228)
(-22.2125766, -49.6547994)
(-20.7956829, -50.1907615)
(-21.8377536, -48.492853)
(-20.6488139, -50.3608101)
(-21.7988557, -49.9288096)
(-21.3814805, -50.2100452)
(-21.6213012, -49.7962941)
(-21.909072, -49.89861)
(-20.3245873, -48.3148818)
(-20.79663, -49.2253917)
(-24.18921, -48.529549)
(-20.4290496, -47.8250067)
(-21.0322387, -51.2100464)
(-20.4976771, -48.9452074)
(-20.0737613, -50.3379634)
(-21.8950705, -49.590107)
(-21.2542739, -50.6440083)
(-23.4133724, -46.0379249)
(-22.8057839, -45.1908926)
(-23.3718195, -48.184685)
(-21.35938, -48.23158)
(-23.9927768, -46.2558332)
(-23.4430602, -46.524459)
(-21.496092, -48.0360685)
(-20.6491637, -50.6622974)
(-22.004508, -50.3862746)
(-22.6332028, -47.0545305)
(-22.85833, -47.22)
(-21.8928341, -49.0226082)
(-21.8583385, -50.6892931)
(-22.8742567, -49.1593923)
(-21.9554092, -47.9989614)
(-21.0815104, -49.2424619)
(-22.8131812, -50.0720477)
(-21.75623, -48.831903)
(-23.6548363, -47.2210116)
(-20.3413103, -49.1970982)
(-22.660165, -51.077881)
(-22.5165369, -48.5582558)
(-20.0411471, -47.7477444)
(-23.2063475, -46.156934)
(-24.7042692, -47.5563733)
